219 220
6332 7305 1
2146 2327 1
1068661 1068662 1
1068653 1068680 1
1068638 1068692 1
487331 487333 1
486470 489354 1
486469 486470 1
486398 486468 1
410493 1074025 1
389468 493079 1
3096 3142 1
6354 7299 1
499952 499953 1
3151 3162 1
6310 6332 1
6285 6311 1
3431 3432 1
4261 4560 1
3442 3443 1
4040 4394 1
4031 4032 1
3448 3449 1
4010 4452 1
3944 3945 1
3796 4269 1
1068835 1069067 1
0 6309 1
1075504 1075510 1
1074036 1074040 1
1074010 1074030 1
1069513 1069517 1
1069512 1069538 1
1069495 1075578 1
1068991 1068992 1
2130 2312 1
1068799 1069051 1
1068738 1069028 1
1068702 1068703 1
1068662 1068672 1
1068672 1068701 1
486398 486469 2
3944 3976 2
3976 4000 2
1074037 1074040 2
1068661 1068664 2
1074034 1074037 2
1074030 1087563 2
1074025 1074026 2
1068679 1068680 2
4269 4429 2
1068691 1068692 2
1067995 1067997 2
487334 487464 2
1069495 1069497 2
1069467 1069538 2
1069460 1074036 2
1069459 1069468 2
499949 500000 2
399342 1087563 2
499943 499944 2
485154 485155 2
485935 485936 2
499854 500021 2
499833 499943 2
1068710 1068711 2
486707 487357 2
3779 3796 2
3092 3093 2
2990 3041 2
1661 1662 2
1664 2056 2
3110 3142 2
1305 4261 2
2977 4032 2
3431 6297 2
3443 6297 2
0 6353 2
2312 2320 2
3448 6285 2
3467 3469 2
2326 2343 2
1068778 1068779 3
485155 499952 3
1068989 1068992 3
492628 492672 3
1068778 1068799 3
489354 499258 3
488194 492672 3
499854 499944 3
486707 486734 3
487331 487338 3
487338 487357 3
487467 487470 3
2308 2323 3
500005 500021 3
2321 2322 3
2320 2321 3
3380 3383 3
1069467 1069468 3
3953 4280 3
1075504 1075506 3
1496 1498 3
4033 4040 3
1292 1067997 3
1074052 1074053 3
4262 4560 3
2130 2288 4
1074052 1075506 4
487467 487469 4
4280 4429 4
487933 488181 4
4033 4035 4
4031 4394 4
4000 4010 4
3945 3953 4
1075510 1075527 4
491747 492426 4
3041 3380 4
1068994 1068995 4
1068679 1068702 4
486734 487469 4
1292 1305 4
1068691 1068710 4
1069459 1069460 4
1496 1497 4
1624 1660 4
1069497 1069517 4
2978 2990 4
1068711 1068738 4
1067995 1067996 5
1075527 1075578 5
1074010 1074011 5
1068742 1068779 5
1662 1664 5
1068701 1068742 5
1068638 1068653 5
2057 2284 5
2056 2057 5
491711 492426 5
3449 3504 5
491711 491733 5
485933 485937 5
410492 410493 5
485936 485963 5
488144 488167 5
488102 488194 5
7303 7305 5
486183 499258 6
2328 3467 6
485154 485937 6
2308 2322 6
2976 2977 6
1067996 1068101 6
1498 1612 6
1069512 1069513 6
2976 2978 6
488180 488181 6
3162 3432 6
3442 7303 6
1074053 1074284 6
492648 493079 6
1074208 1074284 6
485935 486275 7
1554 1661 7
1068779 1068799 7
1659 1660 7
485933 485963 7
1068989 1074153 7
1068995 1069028 7
3092 3096 7
491734 492439 7
1074026 1074034 7
6311 6312 7
3469 3504 7
0 1 7
491733 491734 7
499953 500005 7
492439 492648 7
2327 2343 7
499826 499833 7
2284 2292 8
488102 488193 8
1506 1658 8
3110 3151 8
488167 488192 8
6312 7299 8
488192 488193 8
487470 487933 8
6309 6310 8
1068991 1068994 8
1656 1658 8
1068835 1069051 8
1068664 1068703 8
1668 389468 8
3779 4262 9
6353 6354 9
4035 4452 9
1497 1668 9
491747 492628 9
1074002 1087562 9
1497 1498 9
3093 3383 9
1554 1624 9
487333 487334 9
2288 2292 9
486183 486275 10
1074002 1074011 10
486468 487317 10
487317 487464 10
1656 1659 10
1074153 1074208 10
2146 2323 10
499826 499949 10
2326 2328 10
1068101 1069067 10
488002 488180 10
399342 410492 10
1506 1612 10
488002 488144 10
